[2026-03-13 10:53:18] IP: 127.0.0.1 | OS: Android | {'status': 'requested'}
[2026-03-13 10:53:23] IP: 127.0.0.1 | OS: Android | {'status': 'granted'}
[2026-03-14 04:21:38] IP: 127.0.0.1 | OS: Android | {'status': 'requested'}
[2026-03-14 04:21:41] IP: 127.0.0.1 | OS: Android | {'status': 'requested'}
[2026-03-14 04:21:42] IP: 127.0.0.1 | OS: Android | {'status': 'granted'}
[2026-03-14 04:23:13] IP: 127.0.0.1 | OS: Windows | {'status': 'requested'}
[2026-03-14 04:23:19] IP: 127.0.0.1 | OS: Windows | {'status': 'granted'}
[2026-03-16 19:44:06] IP: 127.0.0.1 | OS: Windows | {'status': 'requested'}
[2026-03-16 19:44:10] IP: 127.0.0.1 | OS: Windows | {'status': 'granted'}
[2026-03-16 19:45:13] IP: 127.0.0.1 | OS: Windows | {'status': 'requested'}
[2026-03-16 19:45:13] IP: 127.0.0.1 | OS: Windows | {'status': 'granted'}
[2026-03-16 19:47:47] IP: 127.0.0.1 | OS: Windows | {'status': 'requested'}
[2026-03-16 19:47:50] IP: 127.0.0.1 | OS: Windows | {'status': 'granted'}
[2026-03-16 20:58:45] IP: 127.0.0.1 | OS: Windows | {'status': 'requested'}
[2026-03-16 20:58:49] IP: 127.0.0.1 | OS: Windows | {'status': 'granted'}
[2026-03-16 21:24:07] IP: 127.0.0.1 | OS: Windows | {'status': 'requested'}
[2026-03-16 21:24:10] IP: 127.0.0.1 | OS: Windows | {'status': 'granted'}
